"cdm_name","result_type","package_name","package_version","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Number subjects",NA,"count","integer","673","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Number records",NA,"count","integer","673","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort start date",NA,"min","date","3342838-08-08","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort start date",NA,"q05","date","3349935-04-05","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort start date",NA,"q25","date","3444320-10-08","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort start date",NA,"median","date","3696015-06-19","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort start date",NA,"q75","date","3995494-04-21","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort start date",NA,"q95","date","4435818-02-02","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort start date",NA,"max","date","4470733-08-19","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort end date",NA,"min","date","2010-01-06","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort end date",NA,"q05","date","2013-05-07","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort end date",NA,"q25","date","2016-03-25","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort end date",NA,"median","date","2020-10-20","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort end date",NA,"q75","date","2023-06-07","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort end date",NA,"q95","date","2023-06-09","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Cohort end date",NA,"max","date","2023-06-23","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age",NA,"min","integer","11","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age",NA,"q05","integer","12","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age",NA,"q25","integer","12","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age",NA,"median","integer","12","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age",NA,"q75","integer","13","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age",NA,"q95","integer","14","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age",NA,"max","integer","14","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age",NA,"mean","numeric","12.5661218424963","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Age",NA,"sd","numeric","0.682811478297062","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Sex","Female","count","integer","673","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Sex","Female","percentage","integer","100","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Prior observation",NA,"min","integer","408","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Prior observation",NA,"q05","numeric","751.8","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Prior observation",NA,"q25","integer","2006","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Prior observation",NA,"median","integer","3348","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Prior observation",NA,"q75","integer","4395","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Prior observation",NA,"q95","numeric","4822.2","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Prior observation",NA,"max","integer","5333","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Prior observation",NA,"mean","numeric","3121.69836552749","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Prior observation",NA,"sd","numeric","1369.70921801562","overall","overall"
"Clinical Practice Research Datalink, GOLD 202307  release","summarised_characteristics","PatientProfiles","0.6.0","cohort_name","total_unvac_matched_cohort","overall","overall","Future observation",NA,"min","integer","79","overall","overall"
